台湾/Taiwan,#genre#
壹電視新聞_線路一,tvbus://3iXmoiqMLxP8FVEQVDptTGf5sFFB7X7KkdSzpGW9aPUpcSx9SM
壹電視新聞_線路二,tvbus://4UNQb8wNtMprgjPXYCAs4hEyRiyjjFsysXDhU9EQ4MitJPeKjb

三立新聞_線路一,tvbus://4JdW8JdAGrJcAJaLDzCTQcDcz8gSnB5nALFZasSwP1nDxszPQ1
三立新聞_線路二,tvbus://3bpNb6c5opD1WMvqzXAJnsBHyn23MbpuEiLRkJQJXweb1oqKG9
民視新聞_線路一,tvbus://4h3Mdn2uvmzgXtFmFcF29z8Qd4qiSzMUGFjSZAiafKxYa8DZPL
民視新聞_線路二,tvbus://3hTNsEo1eDRWr7MX3EbNA7cmyRAEj6SXnuAudJGkSgbbLbXLky
東森新聞,tvbus://492S2vSPPEwx1KzjfasUzko6spv2fs62fAjYzeJsPPMH5n1c9n
寰宇新聞台灣,tvbus://3MBC1v2Q5FENrLYktwmi8CnQKEvjN8Tfm6mttKzDz7ggzV7RFc
鏡新聞,tvbus://41ZgYTNGt7GcCymx1jGcya1tQz7P8VWUQ9UHrBycf3eQQbMhxs
TVBS新聞,tvbus://4iNe2wXP78HSnoSLDyYsd1RhDXR3exHCrBB5xPUE5y3KwJ5gXA

東森財經新聞,tvbus://3D3ehK91Rx2WJycPTWNBAiXS8B6KFNszS2Zi9YxsMJveuyr8tr
非凡新聞,tvbus://2zupHHrYcdR5EkZotDutqbsbYWvgvZRUVi69Chj9Ky6FeRC9FY
寰宇新聞,tvbus://35dQskACgapwARGRaXH9WMXU2CxCxRrgGYH8Er7fgiBw9PArFw


三立財經,tvbus://4ELVxJqkLhqBnyGeMowyaKnGHTPxWV2Z5SapKJFW3y3BFeWXj4
華視新聞資訊_線路一,tvbus://3GGVajPnHruLD8q6bNcx5e4dQGuS8hpZVXjJJPVvaoKu62nodZ
華視新聞資訊_線路二,tvbus://3xb6n2pRe2ySBL4wHzcYXHSENbVuVg9igNqGgWtX2pfzdhtaTe
緯來體育_線路一,tvbus://4YNh1F2B8uhrDWKN7amVrwxmPZJw9Kwvt1SkcdCK5k4KnifCLS
緯來體育_線路二,tvbus://3RqSDEgvSEGrPTZUB5KnRcthB7LGCjDMzeeFiHDFshyrC1UJ6y
愛爾達體育1,tvbus://4C7iijGJx8QDyQ35Ns5b7iJWC5w8war2epeg1hD1CHw7jRWjzX
愛爾達體育2,tvbus://37fFPRRDFH94asBuL1qdYHY991fCcoV9kjac8gzUD8qsiDpFRy
愛爾達體育3,tvbus://3zW4ZaVHLUzmkAD7a831uurBVxv99oKA44T12Mw8BUyc4MEYu4
愛爾達體育4,tvbus://4HFCtUh7QyRnm67tGqd6TraHq4JeuGavJ4rpGMQbNkHn4xbmcG
中天新聞_線路一,tvbus://45fwaXr7bh6YyDqszrJqcruqLwSPAqPTWerx76ZjRBZLV7cBWF
中天新聞_線路二,tvbus://4Z3ND3qVKDdE7hC185J11DgDBr3ugkKCCeE3KXVvDH2groMwSJ
愛爾達影劇,tvbus://4SNjsD9isiPyECmzmAhRmageaRA32F1KtEwz2JeK5a5a8FAaor
愛爾達綜合_線路一,tvbus://32A2q3ZFtVHQwMXt2GH3G1aRAqWTa9tBSRWufhiJAxnT7VM1UP
ELTA-愛爾達綜合_線路二,tvbus://4Ksjs9Ji2aABa31bYTU9nqa1uUBD7AtPFXpmnYKjnhMkjnfREC
中視經典_線路一,tvbus://3ukdeJ3Ng9RTdNLaf7gLNb9dNafiLrpFfusc7fkGTnKQvpcaUV
中視經典_線路二,tvbus://3W5QJMtbx1gUFQsvwoBYJq1E8s51aGziTCxDDB88P6CtdXXKxV
中視菁采,tvbus://34VituHiSjzEyozAvSXD6S9wmp8egZ37sssXu1oCCG7mzHEyGG
CNN_國際,tvbus://2yXzamz7f7sqKvwQEEf9mCQ1c12hQz2wZb6CLJW3GDFRNpXJEV
民視,tvbus://472hstxJdarzDx8E5ESSC2cYiDZaWEB9qhzxc9xwAqMTw8UzgP
豬哥亮歌廳秀,tvbus://3btq2rXJVpVGozM3uhVwSdQdJLSEnm6Jgb3qqsrn628oZ8furA
台視,tvbus://4dnvwGfdZtR41xRhwSN9wz15iLJSpWcMZ2FniFKBiYJSxmugNH
大愛電視,tvbus://3yZytAwF7yUU9ApCYz6hE6uSX8xcVW75ytev1dPuoKGxdd578Y
中視_線路一,tvbus://3tVqmMP8V3ZaEq9x3RicoGKi7MgDJJhHv8TpGXs7SXrae6SzRY
中視_線路二,tvbus://3j9nudVBLmfD3nrdFZfdoEbweazN5WtoHemjrEHPXhbB6harQZ
霹靂台灣,tvbus://3Nyj6ytq42k5d5poVNZQy5KYm8kBK2HdFFLS9XkKVm3zWwapXW
華視,tvbus://4nxjEPHo4kHjys5ZqU3rSa662Jz1n6K1UVFsRvfXHZrHw5fnJY
公視,tvbus://4t6keNcUU2BbjT3AoBCGtwvCoXKsNu3nEmLT9bmdWXpho1Hx95
Animax HD,tvbus://3UfpBam9p3jjFcYzBT85aMjUecBqfZzZZzuAvHu1jLDqeDhFoX
金光布袋戲,tvbus://3EjExEDHc96LoQQ3zLVuZpiUfxSfNTAVMpNmtHKbpae44qnsZv
原住民族電視,tvbus://4QVA6B5gSx51WaATTVZpHPhjPoFg3AgrxrrAF71kwTVuoKH3Ge
客家衛視,tvbus://3y1a1NxPYB1yMpjHS1rx3fT9SbZRpsdPEJaFssJKHHKzC8mqo4
探索頻道,tvbus://43HvL1jYrS672VHbMsVsi5JdDn9w6VGgB1iic3UuZAtthDWLQ7
TLC旅游生活,tvbus://3f7bT5YtyjSAm4tBc4vXkmjabvBERqGDzsUYXCh1WDpcPJrnHf
動物星球,tvbus://3N1Nd8ExTooQYRxewXq2EZMK5FFE5d1RUFzCTwa1hGD83jbas9
卡通頻道,tvbus://3EvfsBMKU5swGeJQLV9wGSs4hsKuuJra9TTZUVmYCqMNkLi2ty
MOMO親子_線路一,tvbus://4oDuanC63EXp7EALKwtFuhimygq9M4ysHd9ES6hT13i5DeKWYF
MOMO親子_線路二,tvbus://4iqtPenRp5c6f6gaTPuQ28pY818hnvmAecxXk3NBubtJjTPopg
東森幼幼_線路一,tvbus://3a9kc6b2GzVxicCdkZTsrYUJUf3Z6KNvWbfJbdSYEpnuLGnMBB
東森幼幼_線路二,tvbus://4E6wu6TqSpxV3d1HuWAzQ3qmMvZEEYBJW4AxrTgapjbE5Ao7xg
緯來綜合_線路一,tvbus://4YFxKsEbB7bfmTi1FKmvsSFDaU5LSXAUiYmKDcSTGjjLpaBd44
緯來綜合_線路二,tvbus://3JZTbsS5TVCgVm2TYJpTSQx4dUzMF6pWZ6gS9xvpC6jmZGxbze
八大第一,tvbus://3fbZbdzYyjoLJ8QqSLqiFnzDPfDVdct6piQ3vM9HPoPg7FzXic
八大綜合,tvbus://2zjT99SGPMqSFoUPSGwJQKYbe9uGKt5KQqrS3sdXkDFQ3ZmZ3v
三立台灣_線路一,tvbus://3b4cWDUEgxu988QZYDJcsA2qSbv4ANLAozW9yNscnQWXNA7UCg
三立台灣_線路二,tvbus://4CgBsKEszunDxPCSA2PV2kGiZXN1WAtYF8ZmH6emw9rXbp9QBV
三立都會_線路一,tvbus://3K7shs6ko6pw8fGvGaRLhQTaBvjx4RjV2qnXBbiQra6uqGfFFn
三立都會_線路二,tvbus://4Fuk2Xzq81oEpPyHYRT2T6TQkKp2WwUkr9m8bBAq9KucUQQx8s
東森綜合_線路一,tvbus://4ifSJsUKSwmDMM91gCbCvhrWKcP9padTKkod9NRSVgZCSPdMv7
東森綜合_線路二,tvbus://4XwwmKaDt8aj5RUM66oF3zJ6EBixaFdGU4yWZ3YsQz3mKxo8r8
東森超視,tvbus://4psSZrBE1HsTzDjcHoQcAJsMXwTgA3bFHrwabscfgUDw98fo5k
非凡商業,tvbus://3zaGFVx7bbNdYr8koegwnQHTszUXTidChtW5rXpHaeX8RtsazG
中天綜合_線路一,tvbus://3j5oojgfQUU19347LP1KC5L5gAm2iJ8AqnaCzqJBXbdCDgDxfk
