Js=smart
Decoder=2

台灣,#genre#
TVBS News 新聞台,http://?id=tvbs_n
TVBS 歡樂台 （備份）,http://?id=tvbshuanle_twn
TVBS HD,http://?id=tvbs
中天新聞 HD,http://?id=ctinews
中天娛樂 CTI Entertaiment,http://?id=ctient
中天綜合 CTI Metro,http://?id=ctizhonghe
中天亞洲台,http://?id=ctiasia_twn
台視 TTV HD,http://?id=ttv_taiwan
台視新聞台,http://?id=ttvnews_twn
台視綜合台,http://?id=ttvzhonghe_twn
中視 HD,http://?id=zhongshihd_twn
中視新聞台,http://?id=zhongshinews_twn
民視 HD,http://?id=ftvhd_taiwan
民視新聞台 FTV News,http://?id=ftvnew_taiwan
民視臺灣台,http://?id=ftvtaiwan_twn
華視 CTS HD,http://?id=ctshd_twn
公視 CTV,http://?id=ctv_taiwan
八大第一 GTV First,http://?id=badafirst
八大綜合 GTV Metro,http://?id=badazhonghe
八大戲劇 GTV Drama,http://?id=badadrama
八大娛樂 GTV Entertainment,http://?id=badaentertain
HBO_HD,http://?id=hbohd_twn
HBO_HITS,http://?id=hbohits_twn
Hollywood Movies,http://?id=hollywoodmovies_twn
信大電視台,http://?id=xinda_twn
三立臺灣 Sanli Taiwan,http://?id=sanlitaiwan
三立戲劇台,http://?id=sanlixiju_twn
三立綜合 Sanli Metro,http://?id=sanlizhonghe
三立都會台,http://?id=sanlidouhui
東森新聞 ETTV News,http://?id=ettvnews
CINEMAX,http://?id=cinemax_twn
東森綜合 ETTV Metro,http://?id=ettvzhonghe
東森戲劇 ETTV Drama,http://?id=ettvdrama
東森超視,http://?id=ettvsuper
東森財經新聞 ETTV Business,http://?id=ettvcaijing_twn
寰宇財經,http://?id=huanyutaiwan_twn
寰宇新聞台,http://?id=huanyuxinwen_twn
大愛1台,http://?id=daai_twn
非凡新聞台,http://?id=feifannews_twn
龍華戲劇 Lunghua Drama,http://?id=lunghuaxiju_twn
龍華戲劇台,http://?id=lunghuaxiju_twn
龍華經典台,http://?id=lunghuajingdian_twn
龍華偶像,http://?id=lunghuaidol_twn
AXN Taiwan,http://?id=axn_twn
靖天國際台,http://?id=jingtianintl_twn
年代新聞,http://?id=niandainews_twn
緯來日本台,http://?id=videolandjapan
緯來綜合台,http://?id=videolandzonghe
緯來電影台,http://?id=videolandmovie_twn
緯來體育台,http://?id=videolandsport
緯來育樂,http://?id=videolandyule
緯來精彩,http://?id=videolandspecial_twn
好消息 2,http://?id=goods_twn
大愛2台,http://?id=catchplay_twn
亞洲美食,http://?id=afc_twn
美食星球,http://?id=foodplanet_twn
亞洲旅遊 TLC Asia,http://?id=tlc_twn
東森電影 ETTV Movie,http://?id=ettvmovie
阿里郎 Arirang,http://?id=arirang_twn
博斯運動 1,http://?id=bosisport1_twn
博斯運動 2,http://?id=bosisport2_twn
博斯高球2 HD,http://?id=bosigolf2_twn
博斯網球 HD,http://?id=bositennis_twn
東森洋片 ETTV Western,http://?id=ettvwestern
龍華洋片 Lunghua Western,http://?id=lunghuawestern_twn
博斯無限,http://?id=bosiunlimited_twn
MTV Live,http://?id=mtvhd_twn
龍詳時代,http://?id=lungxiangtime_twn
EYETV 旅遊,http://?id=eyetvtravel_twn
靖天卡通台,http://?id=jingtiancartoon_twn
EYETV 戲劇,http://?id=eyetvxiju_twn
衛視中文台 Star Movies Chinese,http://?id=weishichinese_twn
東森幼幼 Yoyo TV,http://?id=yoyo_twn
衛視電影台,http://?id=weishimovie_twn
美亞電影,http://?id=meiyamovie_twn
愛爾達影劇台,http://?id=eltayingju_twn
愛爾達綜合台,http://?id=eltazonghe_twn
星衛電影,http://?id=xingwei_movie
愛爾達影劇,http://?id=eltayingju_twn
愛爾達體育1台,http://?id=eltasport_twn
愛爾達體育2台,http://?id=eltasport2_twn
愛爾達體育3台,http://?id=eltasport3_twn
AFC 亞洲旅遊台,http://?id=asiatravel_twn
地理野生动物,http://?id=natgeowildtamil_raj
地理野生动物,http://?id=Natgeowild

香港,#genre#
翡翠台,http://?id=jade_twn
iNews 新聞台,http://?id=inews_twn
J 2,http://?id=j2_twn
J2 備用,http://?id=j2_hkdavid
珍珠台,http://?id=pearl_twn
珍珠台  備用,http://?id=pearl_hkdavid
鳳凰香港,http://?id=hkphoenix_twn
無線財經資訊台,http://?id=tvbcaijing_twn
TVB 星河,http://?id=tvbxinhe_twn
RHK 31,http://?id=rhk31_twn
VIUTV1,http://?id=viu1_twn
RHK 32,http://?id=rhk32_twn
鳳凰衛視,http://?id=phoenixtv_hd
鳳凰資訊,http://?id=phoenixinfo_hd
Viu6,http://?id=viusix_twn
Viu TV 69,http://?id=viutv69_hkdavid
