台灣,#genre##
壹電視新聞台,P2p://starvod.xyz:19806/46855ea4cf80481c83928c4122af83f7
年代新聞,P2p://starvod.xyz:19806/5be0f272d36548d1b7fae2f3ea1a02f4
三立新聞台,P2p://starvod.xyz:19806/6cb5236c8775423ba7f5dd964d23204e
民視新聞台,P2p://starvod.xyz:19806/85724af489c94b319c108b754f4eb381
東森新聞台,P2p://starvod.xyz:19806/fbc81780a9114e3da4cb1d4123844a5e
非凡新聞台,P2p://starvod.xyz:19806/843f09b6643145828c29cb2e3dff9dac
寰宇新聞台灣台,P2p://starvod.xyz:19806/806f2275ac404453a4539e091e0a2a82
鏡新聞,P2p://starvod.xyz:19806/c8c7f08a5ba948c08fabbe06f9a7a256
三立iNEWS,P2p://starvod.xyz:19806/580fb306a29948d59b195c50cc496c52
寰宇新聞台,P2p://starvod.xyz:19806/6d0911b11be041bbba3bf911b1bb6167
TVBS新聞台,P2p://starvod.xyz:19806/810a9c2663204cac962ee095744bf157
東森財經新聞台,P2p://starvod.xyz:19806/9db737ccfb474f40afaf632f0f45b3db
非凡商業台,P2p://starvod.xyz:19806/409e71d738aa4803b297adf29dc01738
東森新聞台(備),P2p://starvod.xyz:19806/e6dd7810733243209fa799162ad0feed
台視財經台,P2p://starvod.xyz:19806/e9b57fc5756f4f78b876adf7f59e8c81



緯來體育台,P2p://starvod.xyz:19806/c972a908051d4782b5bd7197cb656860
愛爾達體育1台,P2p://starvod.xyz:19806/6649ae4b8a9146299534f7d5342d4085
愛爾達體育2台,P2p://starvod.xyz:19806/3646d36491064d4a827b84c5bb75822a
愛爾達體育3台,P2p://starvod.xyz:19806/b971729f3fe44de2bba415f0fc8cf0a6
愛爾達體育4台,P2p://starvod.xyz:19806/0c4a3e394103477394f366c60f53eb33
愛爾達體育1台(備),P2p://starvod.xyz:19806/382c4d85d0db4899ba9802441c22901f
愛爾達體育2台(備),P2p://starvod.xyz:19806/d585323c4e894b8bbeb17a2e801faf9e
愛爾達體育3台(備),P2p://starvod.xyz:19806/55d428f4c4c84d7bae7d1ac5691fe536
緯來育樂台,P2p://starvod.xyz:19806/abe4ba8d23a44eea8610d851827515a0

台視新聞台,P2p://starvod.xyz:19806/2e9ca06c53c84603ac0230e459ebafd1
中視新聞台,P2p://starvod.xyz:19806/60901e8b36254ffea76905ae140ec8e4
華視新聞,P2p://starvod.xyz:19806/fc3998cc8d7d4608bc9d0ade911c3a76
民視,P2p://starvod.xyz:19806/3a94c468f14e4285a1ec6616ac21f62d
台視,P2p://starvod.xyz:19806/5084049111084d94b56cfe347cb09843
中視,P2p://starvod.xyz:19806/1d56f451ea21405c9000a608f8b12be3
華視,P2p://starvod.xyz:19806/243a551a24184a61ac54d39918b540c0
公視,P2p://starvod.xyz:19806/c83173edb08c49bfa83c7180ca12e57f
公視3台,P2p://starvod.xyz:19806/aac3178ca641405299c1fc9eee4bfe10
大愛2台,P2p://starvod.xyz:19806/ddb7f8757c2f4334be1a5f6fd158faa3






三立綜合台,P2p://starvod.xyz:19806/6182bbb6aec54662813f81cecb0ea01f
TVBS精采台,P2p://starvod.xyz:19806/d6693e62e2454ed89e97186e6035b7e0
壹電視綜合,P2p://starvod.xyz:19806/54fdc99e3a1547c2a7154d6a98fa3805
緯來精采,P2p://starvod.xyz:19806/e93815a58b434099a19441c06e9c81c6
ETtoday綜合台,P2p://starvod.xyz:19806/9799a82413f949049b9273e0e1f6216a
台視綜合台,P2p://starvod.xyz:19806/4e1aaa5b665441eabdf0795aa0524861
民視第一台,P2p://starvod.xyz:19806/e5908caead5a41ab896bc811a411db5d
