Decoder=3
新聞频道,#genre#





寰宇財經台,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv158/index.m3u8


東森財經新聞台,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv153/index.m3u8
東森財經新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv153
東森財經新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv153






非凡新聞台,http://211.23.114.106:8506/http/61.221.81.94:8088/hls/75/817/ch57.m3u8
非凡新聞台,rtmp://f13h.mine.nu/sat/tv581

壹新聞,http://211.23.114.106:8549/http/61.221.81.94:8088/hls/66/808/ch24.m3u8?token=
壹新聞,http://125.105.212.47:13169/PLTV/mqlive/live.php?ip=60.250.121.217&url=http://60.250.121.217:5003/live2749.m3u8
壹新聞,https://hls-gateway.vpstv.net/streams/488993.m3u8
壹新聞,http://211.23.114.106:8549/.m3u8
壹新聞,http://ali.hlspull.yximgs.com/live/4e17bcfc31a10dde984d0eb0f6599f57.flv
壹新聞,http://ali.hlspull.yximgs.com/live/aebfef5a266a7577e6cbe0239825fd4d.flv


年代新聞台,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞台,http://198.16.100.186:8278/niandainews_twn/playlist.m3u8?tid=MBCB9184423891844238&ct=19249&tsum=ac0331d98099429b19c53fe6d20972ec

三立新聞台,p2p://142.54.189.229:7575/64df114a00089e6504a1b34e5ec80344.ts
三立新聞台,http://211.23.114.106:8542/http/61.221.81.94:8088/hls/65/807/ch18.m3u8






年代新聞台,http://robyang.serv00.net/ublive.php?id=1099
年代新聞台,http://robyang.serv00.net/ublive.php?id=2719
年代新聞台,http://smt.iktv.ddns-ip.net/Smart.php?id=niandainews_twn
年代新聞台,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/67/809/ch27.m3u8?token=
年代新聞台,http://50.7.234.10:8278/niandainews_twn/playlist.m3u8?tid=MA6A4647720946477209&ct=19226&tsum=48a66838dbcf633b2fb41307b29ef50a

年代新聞台,p3p://108.181.32.169:50934/67694e1500009a3dcd522b1b1f7e14f1
年代新聞台,http://198.16.100.186:8278/niandainews_twn/playlist.m3u8?tid=MBCB9184423891844238&ct=19249&tsum=ac0331d98099429b19c53fe6d20972ec
年代新聞台,http://50.7.234.10:8278/niandainews_twn/playlist.m3u8?tid=MA6A4647720946477209&ct=19226&tsum=48a66838dbcf633b2fb41307b29ef50a


三立新聞台,http://125.227.210.55:8162/VideoInput/play.ts
三立新聞台,https://www.youtube.com/watch?v=MV9mI0GChwo
三立新聞台,p3p://108.181.32.169:50934/6766bc7f000ed78dc349b377648221c8
三立新聞台,http://125.227.210.55:8162/VideoInput/play.ts
三立新聞台,p3p://108.181.32.169:41467/6766bc7f000ed78dc349b377648221c8



民視新聞台,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv13/index.m3u8
民視新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv13
東森新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv152
