台湾频道,#genre# 
年代新闻,http://kele666.serv00.net/Smart.php?id=niandainews_twn
民视新闻台 FTV News,http://kele666.serv00.net/Smart.php?id=ftvnew_taiwan
东森新闻 ETTV News,http://kele666.serv00.net/Smart.php?id=ettvnews
非凡新闻台,http://kele666.serv00.net/Smart.php?id=feifannews_twn
东森财经新闻 ETTV Business,http://kele666.serv00.net/Smart.php?id=ettvcaijing_twn
寰宇财经,http://kele666.serv00.net/Smart.php?id=huanyutaiwan_twn
寰宇新闻台,http://kele666.serv00.net/Smart.php?id=huanyuxinwen_twn
TVBS News 新闻台,http://kele666.serv00.net/Smart.php?id=tvbs_n
TVBS 欢乐台 （备份）,http://kele666.serv00.net/Smart.php?id=tvbshuanle_twn
TVBS HD,http://kele666.serv00.net/Smart.php?id=tvbs
中天新闻 HD,http://kele666.serv00.net/Smart.php?id=ctinews

台视新闻台,http://kele666.serv00.net/Smart.php?id=ttvnews_twn

中视新闻台,http://kele666.serv00.net/Smart.php?id=zhongshinews_twn
民视 HD,http://kele666.serv00.net/Smart.php?id=ftvhd_taiwan
中天娱乐 CTI Entertaiment,http://kele666.serv00.net/Smart.php?id=ctient
中天综合 CTI Metro,http://kele666.serv00.net/Smart.php?id=ctizhonghe
中天亚洲台,http://kele666.serv00.net/Smart.php?id=ctiasia_twn
台视 TTV HD,http://kele666.serv00.net/Smart.php?id=ttv_taiwan
台视综合台,http://kele666.serv00.net/Smart.php?id=ttvzhonghe
中视 HD,http://kele666.serv00.net/Smart.php?id=zhongshihd_twn
民视台湾台,http://kele666.serv00.net/Smart.php?id=ftvtaiwan_twn
华视 CTS HD,http://kele666.serv00.net/Smart.php?id=ctshd_twn
公视 CTV,http://kele666.serv00.net/Smart.php?id=ctv18_twn
八大第一 GTV First,http://kele666.serv00.net/Smart.php?id=badafirst
八大综合 GTV Metro,http://kele666.serv00.net/Smart.php?id=badazhonghe
八大戏剧 GTV Drama,http://kele666.serv00.net/Smart.php?id=badadrama
八大娱乐 GTV Entertainment,http://kele666.serv00.net/Smart.php?id=badaentertain
HBO_HD,http://kele666.serv00.net/Smart.php?id=hbohd_twn
HBO_HITS,http://kele666.serv00.net/Smart.php?id=hbohit_twn
Hollywood Movies,http://kele666.serv00.net/Smart.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://kele666.serv00.net/Smart.php?id=sanlitaiwan
三立戏剧台,http://kele666.serv00.net/Smart.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://kele666.serv00.net/Smart.php?id=sanlizhonghe
三立都会台,http://kele666.serv00.net/Smart.php?id=sanlidouhui

CINEMAX,http://kele666.serv00.net/Smart.php?id=cinemax_twn
东森综合 ETTV Metro,http://kele666.serv00.net/Smart.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://kele666.serv00.net/Smart.php?id=ettvdrama
东森超视,http://kele666.serv00.net/Smart.php?id=ettvsuper

公视2,http://kele666.serv00.net/Smart.php?id=ctv2_twn
大爱1台,http://kele666.serv00.net/Smart.php?id=daai_twn

龙华戏剧 Lunghua Drama,http://kele666.serv00.net/Smart.php?id=lunghuaxiju_twn
龙华经典台,http://kele666.serv00.net/Smart.php?id=lunghuajingdian_twn
龙华偶像,http://kele666.serv00.net/Smart.php?id=lunghuaidol_twn
AXN Taiwan,http://kele666.serv00.net/Smart.php?id=axn_twn
靖天国际台,http://kele666.serv00.net/Smart.php?id=jingtianintl_twn

纬来日本台,http://kele666.serv00.net/Smart.php?id=videolandjapan
纬来电影台,http://kele666.serv00.net/Smart.php?id=videolandmovie
纬来体育台,http://kele666.serv00.net/Smart.php?id=videolandsport
纬来综合台,http://kele666.serv00.net/Smart.php?id=videolandzonghe
纬来育乐,http://kele666.serv00.net/Smart.php?id=videolandyule
纬来精彩,http://kele666.serv00.net/Smart.php?id=videolandspecial_twn
好消息 2,http://kele666.serv00.net/Smart.php?id=good2_twn
