YouTube新聞,#genre#






寰宇財經台,https://www.youtube.com/watch?v=EnuEsX3FSh0
寰宇財經台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv158
寰宇財經台,http://mianti.pendy.dpdns.org/li-4gtv-4gtv158/index.m3u8?proxy=true
東森財經新聞台,https://www.youtube.com/watch?v=AEBeWMM1atA
東森財經新聞台,https://www.youtube.com/watch?v=1I2iq41Akmo
東森財經新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv153
東森財經新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv153/index.m3u8
東森財經新聞台,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv153
東森財經新聞台,p3p://108.181.32.169:41467/64251ff20001f010ea5e4b9002e57212

非凡新聞台,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv010/index.m3u8

寰宇財經台,https://tv.iill.top/litv/4gtv-4gtv158
東森財經新聞台,https://tv.iill.top/litv/4gtv-4gtv153
非凡新聞台,https://tv.iill.top/litv/4gtv-4gtv010


壹新聞,http://211.23.114.106:8516/http/61.221.81.94:8088/hls/66/808/ch24.m3u8?token=
壹新聞,http://robyang.serv00.net/ublive.php?id=2777
壹新聞,p3p://108.181.32.169:50934/67c065fd00054ff32185a62f6d595c5f

年代新聞台,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
三立新聞台,http://125.227.210.55:8162/VideoInput/play.ts







三立新聞台,https://www.youtube.com/watch?v=MV9mI0GChwo
民視新聞台,https://www.youtube.com/watch?v=ylYJSBUgaMA
東森新聞台,https://www.youtube.com/watch?v=V1p33hqPrUk
寰宇新聞台灣台,https://www.youtube.com/watch?v=w87VGpgd90U
鏡電視新聞台,https://www.youtube.com/watch?v=5n0y6b0Q25o
三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
寰宇新聞台,https://www.youtube.com/watch?v=6IquAgfvYmc
TVBS新聞台,https://www.youtube.com/watch?v=m_dhMSvUCIc

寰宇財經台,https://tv.iill.top/litv/litv-longturn23
民視新聞台,https://tv.iill.top/litv/litv-ftv13
東森新聞台,https://tv.iill.top/litv/4gtv-4gtv152
寰宇新聞台灣台,https://tv.iill.top/litv/4gtv-4gtv156
寰宇新聞台灣台,https://tv.iill.top/litv/litv-longturn15
鏡電視新聞台,https://tv.iill.top/litv/4gtv-4gtv075
三立iNEWS,https://tv.iill.top/litv/4gtv-live089
寰宇新聞台,https://tv.iill.top/litv/litv-longturn14
TVBS新聞台,https://tv.iill.top/litv/4gtv-4gtv072





寰宇財經台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv158/index.m3u8
寰宇財經台,http://4gtv.livednow.dpdns.org/4gtv-4gtv158/index.m3u8
寰宇財經台,http://4gtv.livednow.dpdns.org/of-4gtv-4gtv158/index.m3u8
東森財經新聞台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv153/index.m3u8
東森財經新聞台,http://4gtv.livednow.dpdns.org/4gtv-4gtv153/index.m3u8
