台灣新聞,#genre#

東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
東森財經,https://www.youtube.com/watch?v=1I2iq41Akmo
寰宇台灣,https://www.youtube.com/watch?v=w87VGpgd90U
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
非凡新聞,http://211.23.114.106:8506/http/61.221.81.94:8088/hls/75/817/ch57.m3u8?token=
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
非凡新聞,https://aka03p.akamaized.net/litv/fet001.smil/playlist.m3u8
壹新聞,http://211.23.114.106:8529/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立新聞,https://www.youtube.com/watch?v=MV9mI0GChwo
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts 








東森新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv152?set=2&ch=292
東森新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvnews&sp=chaojidianshi		
東森新聞,http://209.146.124.22:8891/litv/4gtv-4gtv152
寰宇台灣,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-longturn15?set=1&ch=280
寰宇台灣,http://209.146.124.22:8891/litv/litv-longturn15
鏡新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv075?set=2&ch=268		
鏡新聞,http://209.146.124.22:8891/litv/4gtv-4gtv075
TVBS新聞,http://125.227.210.55:8186/VideoInput/play.ts		
TVBS新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv072?set=2&ch=291
TVBS新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=tvbs_n&sp=chaojidianshi		
TVBS新聞,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
寰宇新聞,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8		
寰宇新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-longturn14?set=1&ch=36
寰宇新聞,http://209.146.124.22:8891/litv/litv-longturn14

東森財經,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv153?set=2&ch=293
東森財經,http://209.146.124.22:8891/litv/4gtv-4gtv153 		

台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
中視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv074?set=2&ch=33
華視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv052?set=2&ch=34

三立新聞,http://209.146.124.22:8891/4gtv/229
民視新聞,http://209.146.124.22:8891/litv/litv-ftv13
民視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-ftv13?set=2&ch=31

三立新聞,https://stream1.freetv.fun/e12a5ecb3e0328b72c684ffe48cb7382b9b3e283c0c99492612b5af06b539153.ctv
民視新聞,https://stream1.freetv.fun/6fa1566ea8689cbf43afb55f899dc5ee945e1caabde5bfc367cc510aa794d313.m3u8






三立新聞,p3p://167.114.175.6:55331/6014c896000c7101401f67cc5477681b
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts
三立新聞,http://209.146.124.22:8891/4gtv/229
三立新聞,https://stream1.freetv.fun/e12a5ecb3e0328b72c684ffe48cb7382b9b3e283c0c99492612b5af06b539153.ctv
民視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-ftv13?set=2&ch=31
民視新聞,https://stream1.freetv.fun/6fa1566ea8689cbf43afb55f899dc5ee945e1caabde5bfc367cc510aa794d313.m3u8

民視新聞,http://209.146.124.22:8891/litv/litv-ftv13
東森新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv152?set=2&ch=292
東森新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvnews&sp=chaojidianshi		

寰宇台灣,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-longturn15?set=1&ch=280
寰宇台灣,http://209.146.124.22:8891/litv/litv-longturn15
鏡新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv075?set=2&ch=268		
鏡新聞,http://209.146.124.22:8891/litv/4gtv-4gtv075
TVBS新聞,http://125.227.210.55:8186/VideoInput/play.ts		
TVBS新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv072?set=2&ch=291
TVBS新聞,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=tvbs_n&sp=chaojidianshi		
TVBS新聞,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
寰宇新聞,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8		
寰宇新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-longturn14?set=1&ch=36
寰宇新聞,http://209.146.124.22:8891/litv/litv-longturn14
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
中視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv074?set=2&ch=33
華視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv052?set=2&ch=34
三立iNEWS,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv089?set=2&ch=229
東森財經,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv153?set=2&ch=293
東森財經,http://209.146.124.22:8891/litv/4gtv-4gtv153 		
寰宇財經,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-longturn23?set=2&ch=281
寰宇財經,http://209.146.124.22:8891/litv/litv-longturn23

民視新聞,p3p://108.181.32.169:13517/6766bbef00035b7fc3477e06654678f1
TVBS新聞,p3p://108.181.32.169:13517/642521680002b5f3ea6400bb781026f0
TVBS新聞,p3p://108.181.32.169:13517/6762b94d000d9e01b39d37d0317b2ab1
東森新聞,p3p://108.181.32.169:13517/67619a0c000ce5c8af3b21ba05313165
東森財經,p3p://108.181.32.169:13517/64251ff20001f010ea5e4b9002e57212
寰宇新聞,p3p://108.181.32.169:13517/67619d3c000284e0af479296528b4f38


TVBS新聞,http://odaloawe.abc.hk3.345888.xyz.cdn.cloudflare.net/live3.php?channel=748e9795763249f21ae09fd116b6a67c&expiry=1735554697&token=985feba870b46946d9608f9fa4226cb9
