台灣新聞,#genre#

寰宇財經台,https://www.youtube.com/watch?v=eWj66MbDx1U
東森財經新聞台,https://www.youtube.com/watch?v=AEBeWMM1atA
東森財經新聞台,https://www.youtube.com/watch?v=1I2iq41Akmo
非凡新聞台,https://www.youtube.com/watch?v=wAUx3pywTt8
三立新聞台,https://www.youtube.com/watch?v=QsGswQvRmtU
民視新聞台,https://www.youtube.com/watch?v=ylYJSBUgaMA
東森新聞台,https://www.youtube.com/watch?v=V1p33hqPrUk
寰宇新聞台灣台,https://www.youtube.com/watch?v=w87VGpgd90U
鏡電視新聞台,https://www.youtube.com/watch?v=5n0y6b0Q25o
三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
寰宇新聞台,https://www.youtube.com/watch?v=6IquAgfvYmc
TVBS新聞台,https://www.youtube.com/watch?v=m_dhMSvUCIc
非凡財經台,https://www.youtube.com/watch?v=eA6Aczd3FZM
中天新聞台,https://www.youtube.com/watch?v=vr3XyVCR4T0
台視新聞台,https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞台,https://www.youtube.com/watch?v=TCnaIE_SAtM
華視新聞台,https://www.youtube.com/watch?v=wM0g8EoUZ_E
民視新聞台,http://rihou.cc:555/tv/[mn]民视新闻
中視新聞台,http://rihou.cc:555/tv/[mn]中视新闻
華視新聞台,http://rihou.cc:555/tv/[mn]华视新闻
台視新聞台,http://rihou.cc:555/tv/[mn]台视新闻
公視新聞台,http://rihou.cc:555/tv/[mn]公视闽南


台視新聞台,http://211.72.174.95:8112/0.ts$原生解码最佳
中視新聞台,http://211.72.174.95:8113/0.ts$原生解码最佳
華視新聞台,http://211.72.174.95:8114/0.ts$原生解码最佳
公視新聞台,http://211.72.174.95:8116/0.ts$原生解码最佳
民視新聞台,http://211.72.174.95:8115/0.ts$原生解码最佳

非凡新聞台,rtmp://f13h.mine.nu/sat/tv581


三立新聞台,https://www.youtube.com/watch?v=MV9mI0GChwo
民視新聞台,https://www.youtube.com/watch?v=ylYJSBUgaMA
